Running on host c3
Starting at Tue Feb  8 22:21:24 JST 2022
Running on hosts: c3
Running on 1 nodes.
Running 1 tasks.
Current working directory is /home/rio-hada/workspace/SurrogateModels
> sbatch spy acc.py -T 1500 --trials 100 --k_size_max 400
Namespace(B=2, D=100, P=16, T=1500, eval_length=5, gpu=False, id=8465, k_size_max=400, maxT=None, mean0=False, minT=1, name=None, recalc=1, seed=None, select_mode='random', trials=100)
save to 'result/image/acc_t100_T1500_dmax400_mean_8465.png'
Done (1) 935.4906628131866
Done (2) 755.1320586204529
Done (3) 651.2266530990601
Done (4) 587.5458319187164
Done (5) 544.578887462616
Done (6) 519.6883456707001
Done (7) 501.85110878944397
Done (8) 484.3266797065735
Done (9) 477.5039174556732
Done (10) 469.1369049549103
Done (11) 456.4531593322754
Done (12) 456.53115940093994
Done (13) 438.74062180519104
Done (14) 438.82617568969727
Done (15) 435.41216349601746
Done (16) 431.832882642746
Done (17) 429.28158926963806
Done (18) 438.5971055030823
Done (19) 428.07429122924805
Done (20) 425.98518776893616
Done (21) 424.9110703468323
Done (22) 425.1086130142212
Done (23) 423.3208932876587
Done (24) 420.50761818885803
Done (25) 418.8131036758423
Done (26) 421.3613655567169
Done (27) 423.3598976135254
Done (28) 417.38690876960754
Done (29) 416.46011567115784
Done (30) 415.0403232574463
Done (31) 410.16758704185486
Done (32) 410.064724445343
Done (33) 412.0640592575073
Done (34) 411.993159532547
Done (35) 409.78864216804504
Done (36) 411.05453634262085
Done (37) 411.1331536769867
Done (38) 408.77454137802124
Done (39) 417.61100673675537
Done (40) 411.010929107666
Done (41) 409.03836393356323
Done (42) 406.45681405067444
Done (43) 407.0611033439636
Done (44) 402.61395382881165
Done (45) 403.3580231666565
Done (46) 403.20333647727966
Done (47) 404.3454706668854
Done (48) 402.5581691265106
Done (49) 403.7765974998474
Done (50) 402.6524729728699
Done (51) 402.3063621520996
Done (52) 403.6608371734619
Done (53) 402.9585380554199
Done (54) 413.67571473121643
Done (55) 403.3369026184082
Done (56) 404.71362257003784
Done (57) 403.77740836143494
Done (58) 403.944669008255
Done (59) 404.447767496109
Done (60) 403.6080689430237
Done (61) 402.7669630050659
Done (62) 402.2561914920807
Done (63) 403.12733125686646
Done (64) 402.030592918396
Done (65) 402.18104362487793
Done (66) 401.2051019668579
Done (67) 401.27316403388977
Done (68) 402.4104919433594
Done (69) 403.3608727455139
Done (70) 402.0836224555969
