Running on host c5
Starting at Tue Feb  8 22:21:24 JST 2022
Running on hosts: c5
Running on 1 nodes.
Running 1 tasks.
Current working directory is /home/rio-hada/workspace/SurrogateModels
> sbatch spy acc.py -T 1500 --trials 100 --k_size_max 600
Namespace(B=2, D=100, P=16, T=1500, eval_length=5, gpu=False, id=8467, k_size_max=600, maxT=None, mean0=False, minT=1, name=None, recalc=1, seed=None, select_mode='random', trials=100)
save to 'result/image/acc_t100_T1500_dmax600_mean_8467.png'
Done (1) 945.2643949985504
Done (2) 793.6288363933563
Done (3) 693.221241235733
Done (4) 627.8638696670532
Done (5) 592.4216976165771
Done (6) 569.6855976581573
Done (7) 541.0064136981964
Done (8) 524.4083521366119
Done (9) 511.4573836326599
Done (10) 500.0309476852417
Done (11) 490.55021119117737
Done (12) 491.14723110198975
Done (13) 473.0036289691925
Done (14) 472.1980903148651
Done (15) 464.46481347084045
Done (16) 464.184867143631
Done (17) 459.95349287986755
Done (18) 467.46369552612305
Done (19) 459.02066469192505
Done (20) 457.7890274524689
Done (21) 450.79013562202454
Done (22) 449.95208287239075
Done (23) 448.44445300102234
Done (24) 449.3597559928894
Done (25) 454.7049083709717
Done (26) 446.96004366874695
Done (27) 454.1049678325653
Done (28) 441.75391006469727
Done (29) 443.7511465549469
Done (30) 443.2454664707184
Done (31) 442.0080544948578
Done (32) 443.2142028808594
Done (33) 444.1677529811859
Done (34) 438.3289842605591
Done (35) 438.0287561416626
Done (36) 437.74913334846497
Done (37) 438.8948121070862
Done (38) 440.1450548171997
Done (39) 438.3331038951874
Done (40) 438.24357891082764
Done (41) 446.1002197265625
Done (42) 435.3978946208954
Done (43) 436.5862183570862
Done (44) 434.7270634174347
Done (45) 433.59492325782776
Done (46) 434.5311257839203
Done (47) 432.09102606773376
Done (48) 432.0004417896271
Done (49) 434.37143898010254
Done (50) 432.460000038147
Done (51) 434.7638087272644
Done (52) 435.63738536834717
Done (53) 432.4211690425873
Done (54) 431.25515723228455
Done (55) 433.69993257522583
Done (56) 431.07726407051086
Done (57) 431.3401575088501
Done (58) 431.33174419403076
Done (59) 430.9563021659851
Done (60) 430.7011375427246
Done (61) 430.16298174858093
Done (62) 437.83318066596985
Done (63) 433.4896824359894
Done (64) 430.37525606155396
Done (65) 429.5647964477539
Done (66) 429.7329115867615
Done (67) 431.357146024704
Done (68) 429.13000082969666
Done (69) 429.1106767654419
Done (70) 429.70182728767395
Done (71) 428.07772302627563
Done (72) 428.53255128860474
Done (73) 428.3583903312683
Done (74) 428.2085084915161
Done (75) 427.66428804397583
Done (76) 428.6737108230591
Done (77) 428.84423756599426
Done (78) 428.6074869632721
Done (79) 429.2471992969513
Done (80) 427.7007713317871
Done (81) 426.1952772140503
Done (82) 427.23235750198364
Done (83) 426.5461039543152
Done (84) 427.06954622268677
Done (85) 426.95336842536926
Done (86) 426.4534466266632
Done (87) 425.6499774456024
Done (88) 426.6466498374939
Done (89) 427.1858744621277
Done (90) 426.5615954399109
Done (91) 427.2836010456085
Done (92) 426.28632259368896
Done (93) 426.5089945793152
Done (94) 428.252028465271
Done (95) 438.48940658569336
