Running on host c3
Starting at Sat Feb  5 00:44:20 JST 2022
Running on hosts: c3
Running on 1 nodes.
Running 1 tasks.
Current working directory is /home/rio-hada/workspace/SurrogateModels
> sbatch spy acc.py -T 1500 --trials 100 --k_size_max 800
Namespace(B=2, D=100, P=16, T=1500, eval_length=5, gpu=False, id=8449, k_size_max=800, maxT=None, mean0=False, minT=1, name=None, recalc=1, seed=None, select_mode='random', trials=100)
save to 'result/image/acc_t100_T1500_dmax800_mean_8449.png'
Done (1) 961.5652463436127
Done (2) 833.333788394928
Done (3) 730.5774221420288
Done (4) 671.3027200698853
Done (5) 642.4243175983429
Done (6) 618.8360562324524
Done (7) 568.7680547237396
Done (8) 568.4373717308044
Done (9) 539.3297550678253
Done (10) 530.0416309833527
Done (11) 527.1846115589142
Done (12) 523.0438570976257
Done (13) 513.2191843986511
Done (14) 508.46660923957825
Done (15) 500.04113245010376
Done (16) 496.9621412754059
Done (17) 499.6899869441986
Done (18) 490.3142206668854
Done (19) 489.0774245262146
Done (20) 494.36712646484375
Done (21) 485.4499936103821
Done (22) 481.0958216190338
Done (23) 482.3814196586609
Done (24) 474.40924406051636
Done (25) 487.1297097206116
Done (26) 476.63974356651306
Done (27) 473.8896062374115
Done (28) 474.3896737098694
Done (29) 471.7866225242615
Done (30) 469.3866603374481
Done (31) 469.6524906158447
Done (32) 468.7487232685089
Done (33) 467.9808671474457
Done (34) 471.1243460178375
Done (35) 469.1142702102661
Done (36) 463.60892033576965
Done (37) 471.80578541755676
Done (38) 463.92322850227356
Done (39) 463.37828516960144
Done (40) 463.6313245296478
Done (41) 463.9026575088501
Done (42) 461.1814374923706
Done (43) 463.5729830265045
Done (44) 461.16458439826965
Done (45) 462.68222880363464
Done (46) 460.6324954032898
Done (47) 464.81125259399414
Done (48) 462.2078592777252
Done (49) 463.8793218135834
Done (50) 461.61294531822205
Done (51) 462.88811206817627
Done (52) 462.0979835987091
Done (53) 462.68908762931824
Done (54) 460.8626582622528
Done (55) 460.3554084300995
Done (56) 460.6851325035095
Done (57) 462.7149634361267
Done (58) 466.7625472545624
Done (59) 459.9372899532318
Done (60) 457.4479093551636
Done (61) 459.2266182899475
pinv: t = 1692
Done (62) 459.3773374557495
Done (63) 459.37934041023254
Done (64) 458.35787296295166
Done (65) 457.6609091758728
Done (66) 456.85394501686096
Done (67) 458.14051270484924
Done (68) 456.4973406791687
Done (69) 457.86907410621643
Done (70) 456.33326983451843
Done (71) 456.6983394622803
Done (72) 456.4778788089752
Done (73) 456.5122666358948
Done (74) 455.7461760044098
Done (75) 457.5230131149292
Done (76) 456.28307461738586
Done (77) 455.721782207489
Done (78) 455.4624891281128
Done (79) 455.7619068622589
Done (80) 455.4714877605438
Done (81) 455.6739511489868
Done (82) 454.9520082473755
Done (83) 454.37042474746704
Done (84) 453.6826112270355
Done (85) 455.1959478855133
Done (86) 454.88245582580566
Done (87) 458.5564720630646
Done (88) 449.004923582077
Done (89) 449.90215253829956
Done (90) 448.5024266242981
Done (91) 450.1698145866394
Done (92) 447.2258188724518
Done (93) 459.4272081851959
Done (94) 447.314573764801
Done (95) 447.15614652633667
Done (96) 446.4201486110687
Done (97) 448.25396609306335
Done (98) 449.43855023384094
Done (99) 449.99065017700195
