Running on host c4
Starting at Tue Feb  8 22:21:24 JST 2022
Running on hosts: c4
Running on 1 nodes.
Running 1 tasks.
Current working directory is /home/rio-hada/workspace/SurrogateModels
> sbatch spy acc.py -T 1500 --trials 100 --k_size_max 500
Namespace(B=2, D=100, P=16, T=1500, eval_length=5, gpu=False, id=8466, k_size_max=500, maxT=None, mean0=False, minT=1, name=None, recalc=1, seed=None, select_mode='random', trials=100)
save to 'result/image/acc_t100_T1500_dmax500_mean_8466.png'
Done (1) 942.393018245697
Done (2) 775.8485074043274
Done (3) 664.6801204681396
Done (4) 610.1449916362762
Done (5) 565.0348064899445
Done (6) 543.979766368866
Done (7) 516.3937265872955
Done (8) 497.86667132377625
Done (9) 488.63061237335205
Done (10) 473.0208008289337
Done (11) 468.89273500442505
Done (12) 462.9950683116913
Done (13) 457.1225938796997
Done (14) 460.81913208961487
Done (15) 448.32458424568176
Done (16) 450.0541582107544
Done (17) 452.7221224308014
Done (18) 442.8714075088501
Done (19) 439.238849401474
Done (20) 444.56045603752136
Done (21) 443.0272569656372
Done (22) 440.9404602050781
Done (23) 436.85265040397644
Done (24) 434.3163013458252
Done (25) 430.94653367996216
Done (26) 429.5245957374573
Done (27) 433.2915508747101
Done (28) 428.1597731113434
Done (29) 428.5086364746094
Done (30) 437.5323441028595
Done (31) 426.3123004436493
Done (32) 424.4786036014557
Done (33) 428.5240545272827
Done (34) 422.65503334999084
Done (35) 426.0919213294983
Done (36) 428.1881444454193
Done (37) 424.23801732063293
Done (38) 423.03214740753174
Done (39) 421.90142250061035
Done (40) 423.17635917663574
Done (41) 419.14689540863037
Done (42) 419.3045868873596
Done (43) 418.52689385414124
Done (44) 420.576541185379
Done (45) 427.3617260456085
Done (46) 420.6692340373993
Done (47) 419.3485176563263
Done (48) 419.52869296073914
Done (49) 422.31701612472534
Done (50) 424.34005069732666
Done (51) 419.1344220638275
Done (52) 420.4087061882019
Done (53) 417.8307089805603
Done (54) 417.35989260673523
Done (55) 419.9128885269165
Done (56) 418.7695255279541
Done (57) 420.67603850364685
Done (58) 416.7892107963562
Done (59) 415.0259518623352
Done (60) 416.26483941078186
Done (61) 415.9895884990692
Done (62) 414.6683135032654
Done (63) 415.9935326576233
Done (64) 425.11290168762207
Done (65) 416.8810164928436
Done (66) 415.27303647994995
Done (67) 415.92381024360657
Done (68) 416.1432886123657
Done (69) 416.9865517616272
Done (70) 417.14675641059875
Done (71) 415.0886197090149
Done (72) 415.4502899646759
Done (73) 416.1121783256531
Done (74) 414.7186324596405
Done (75) 415.0978100299835
Done (76) 414.28082036972046
Done (77) 413.63591146469116
Done (78) 415.52899980545044
Done (79) 415.2236454486847
Done (80) 413.52975726127625
Done (81) 415.3342182636261
Done (82) 415.02256202697754
Done (83) 414.34210324287415
